BscStartDate,Asset,OriginalShorttext,PMType,Cost,RunningTime,MajorSystem,Part,Action,Variant,FM,Location,Comments,FuncLocation,SuspSugg,Rule
2009-03-11,E,RH LIP SHROUD BROKEN ON BUCKET,PM01,9575.58,25,Bucket,Wear Items,NA,NA,Structural Integrity,Right,NA,BUCKET,0,Rule_1_3_5_204_422_471
2009-03-16,E,CHANGEOUT STICK TO BUCKET BUSHES,PM01,21966.15,5,Bucket,Misc_Drivers Cabin,Replace,1,NA,NA,NA,MAIN FRAME,0,Rule_1_3_5_152_253_340
2009-03-16,E,REPAIR CRACKS IN BUCKET AROUND ADAPTERS,PM01,6822.74,0,Bucket,Adaptor,Repair,1,Structural Integrity,NA,NA,BUCKET,0,Rule_1_3_5_17_68_319_423
2009-03-16,E,BROKEN GREASE LINE AT BUCKET,PM01,37.62,0,Bucket,Grease System,NA,NA,Structural Integrity,NA,Positional Term,GREASE LUBE SYSTEM,0,Rule_1_3_5_125_263_422_476
2009-03-24,E,REPAIR LUBE LINES ON BUCKET,PM01,250.69,8,Bucket,Grease System,Repair,1,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_5_124_236_319
2009-03-27,E,WELDING REPAIRS TO SPARE BUCKET,PM01,3089.19,3,Bucket,NA,Repair,6,NA,NA,NA,MACHINE,0,Rule_1_3_5_319_322_325
2009-03-29,E,FIT BUCKET TOOTH,PM01,1398.47,2,Bucket,GET,Replace,Install,NA,NA,NA,BUCKET,0,Rule_1_3_5_8_100_116_338
2009-04-03,E,REFIT TOOTH AND WELD ON KEEPER PLATE,PM01,0,5,Bucket,GET_Mount_Wear Items,Modify_Repair_Replace,Install,NA,NA,NA,BUCKET,0,Rule_1_3_8_100_116_162_207_318_322_325_338
2009-04-10,E,BUCKET TOOTH 3rd FROM LHS MISSING,PM01,444.92,7,Bucket,GET,NA,NA,Missing / Loose,Left,NA,BUCKET,0,Rule_1_3_5_8_100_116_393_461
2009-04-12,E,REPLACE L/H BUCKET CYLINDER HOSE,PM01,3013.32,2,Bucket_Hydraulic Cylinders_Hydraulic System,Cylinder_Tilt,Replace,2V,NA,Left,NA,HYDRAULIC HOSES & LINES,0,Rule_1_3_5_18_51_99_198_345_346_462
2009-04-14,E,REPLACE BUCKET TOOTH,PM01,2311.04,2,Bucket,GET,Replace,2V,NA,NA,NA,BUCKET,0,Rule_1_3_5_8_100_116_345_346
2009-04-14,E,REPLACE BUCKET TOOTH,PM01,2088.58,0,Bucket,GET,Replace,2V,NA,NA,NA,BUCKET,0,Rule_1_3_5_8_100_116_345_346
2009-04-21,E,REPLACE LOST TOOTH,PM01,1087.51,7,Bucket,GET,Replace,2V,Missing / Loose,NA,NA,BUCKET,0,Rule_1_3_8_100_116_345_346_394
2009-04-27,E,BUCKET  CRACKED,PM01,6045.74,6,Bucket,NA,NA,NA,Structural Integrity,NA,NA,BUCKET,0,Rule_1_3_5_423
2009-05-17,E,RH TOP BUCKET SIDE WING MISSING,PM01,1284,20,Bucket,NA,NA,NA,Missing / Loose,Right,NA,BUCKET,0,Rule_1_3_5_393_471
2009-05-28,E,REPLACE A MISSING BUCKET TOOTH,PM01,1087.51,11,Bucket,GET,Replace,2V,Missing / Loose,NA,NA,BUCKET,0,Rule_1_3_5_8_100_116_345_346_393
2009-05-30,E,fit l/h corner tooth & shin guard,PM01,1420.74,2,Bucket,Cover_GET,Replace,Install,NA,Left,NA,BUCKET,0,Rule_1_3_8_88_89_100_116_338_462
2009-06-01,E,BUCKET PIN DAMAGED.,PM01,23268.81,2,Bucket,Mount,NA,NA,Structural Integrity,NA,NA,BUCKET,0,Rule_1_3_5_166_417
2009-07-01,E,MINING GET - SHD026 FY10,PM05,11229.41,30,Bucket,GET,NA,NA,NA,NA,NA,IMPLEMENTS,NA,Rule_1_12_104
2009-08-31,E,CHANGE OUT BUCKET CYLINDERS LH&RH,PM01,149008.28,61,Bucket_Hydraulic Cylinders,Cylinder_Tilt,Replace,1,NA,Left_Right,NA,CYLINDER BUCKET - RIGHT,0,Rule_1_3_5_18_99_198_340_461_471
2009-09-21,E,BUCKET CREEPING,PM01,2926.2,21,Bucket,NA,NA,NA,Structural Integrity,NA,NA,CYLINDER BUCKET,0,Rule_1_3_5_420
2009-11-01,E,BUCKET TOOTH HAS COME OFF,PM01,798.74,41,Bucket,GET,NA,NA,NA,NA,NA,BUCKET,0,Rule_1_3_5_8_100_116
2009-11-19,E,RECTIFY BUCKET CREEP .,PM01,1279.05,18,Bucket,NA,Repair,16,Structural Integrity,NA,NA,HYDRAULIC SYSTEM,0,Rule_1_3_5_336_420
2009-11-22,E,BREOKEN GREASE LINE ON BUCKET,PM01,973.97,3,Bucket,Grease System,NA,NA,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_5_125_263
2009-11-27,E,BOTH SIDE BUCKET WING SHROUDS MISSING,PM01,1266.19,5,Bucket,Wear Items,NA,NA,Missing / Loose,NA,NA,IMPLEMENTS,0,Rule_1_3_5_204_393
2010-01-15,E,ONE TOOTH HAS COME OFF (TOOTH FOUND),PM01,333.69,49,Bucket,GET,NA,NA,NA,NA,NA,BUCKET,0,Rule_1_3_8_100_116
2010-01-16,E,REPAIR GREASE LEAK AT BUCKET.,PM01,450.23,1,Bucket,Grease System,Repair,1,Leak,NA,Positional Term,GREASE LUBE SYSTEM,0,Rule_1_3_5_263_319_387_476
2010-01-23,E,REPLACE BUCKET BOTTOM CROWD PIPE,PM01,0,7,Bucket,NA,Replace,2V,NA,NA,NA,HYDRAULIC HOSES & LINES,0,Rule_1_3_5_345_346
2010-01-29,E,REPLACE BUCKET GUM GUARDS,PM01,4218.73,6,Bucket,Cover,Replace,2V,NA,NA,NA,BUCKET,0,Rule_1_3_5_88_89_345_346
2010-02-08,E,SECOND FROM RHS LIP EDGE MISSING,PM01,3437.44,10,Bucket,NA,NA,NA,Missing / Loose,Right,NA,BUCKET,0,Rule_1_3_13_393_471
2010-04-10,E,BUCKET BREAKOUT FORCE SEEMS WEAK,PM01,1572.95,61,Bucket,NA,NA,NA,NA,NA,NA,HYDRAULIC SYSTEM,0,Rule_1_3_5
2010-04-19,E,RH BUCKET CYLINDER DAMAGED,PM06,41729.84,9,Bucket_Hydraulic Cylinders,Cylinder_Tilt,NA,NA,Structural Integrity,Right,NA,CYLINDER BUCKET - RIGHT,0,Rule_1_5_18_99_198_417_471
2010-05-01,E,CHECK BUCKET CYL'S - NO BUCKET FUNCTION,PM01,5644.85,12,Bucket_Hydraulic Cylinders,Cylinder_Tilt,NA,2,NA,NA,NA,CYLINDER BUCKET,0,Rule_1_3_5_18_99_198_275
2010-06-04,E,REPLACE MISSING BUCKET TOOTH,PM01,1139.08,34,Bucket,GET,Replace,2V,Missing / Loose,NA,NA,BUCKET,0,Rule_1_3_5_8_100_116_345_346_393
2010-06-26,E,REPLACE GREASE LINE ON BUCKET,PM01,0,22,Bucket,Grease System,Replace,2V,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_5_125_263_345_346
2010-07-01,E,MINING GET - SHD0026 FY11,PM05,8263.36,5,Bucket,GET,NA,NA,NA,NA,NA,IMPLEMENTS,NA,Rule_1_12_104
2010-07-18,E,HYDRAULICS GETTING HOT L.H SIDE. UNDER O,PM01,2292.02,17,Bucket_Hydraulic System,GET,NA,NA,Over Temp,NA,Positional Term,HYDRAULIC SYSTEM,0,Rule_1_3_12_49_104_402_475
2010-08-14,E,BROKEN GREASE LINE ON BUCKET,PM01,587.61,27,Bucket,Grease System,NA,NA,Structural Integrity,NA,NA,MACHINE,0,Rule_1_3_5_125_263_422
2010-08-15,E,BUCKET TOOTH HAS COME OFF,PM01,2973.07,1,Bucket,GET,NA,NA,NA,NA,NA,IMPLEMENTS,0,Rule_1_3_5_8_100_116
2010-08-22,E,REPAIR BROKEN GREASE LINES ON BUCKET.,PM01,1382.6,7,Bucket,Grease System,Repair,1,Structural Integrity,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_5_125_263_319_422
2010-08-30,E,REPAIR GREASE LINE ON BUCKET.,PM01,195.39,8,Bucket,Grease System,Repair,1,NA,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_5_125_263_319
2010-09-10,E,REPAIR BROKEN GREASE LINE ON BUCKET.,PM01,260.52,11,Bucket,Grease System,Repair,1,Structural Integrity,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_3_5_125_263_319_422
2010-09-12,E,HYD HOSE LEAKING ON BUCKET CYLINDER.,PM01,2785.54,2,Bucket_Hydraulic Cylinders_Hydraulic System,Cylinder_Tilt,NA,NA,Leak,NA,NA,HYDRAULIC HOSES & LINES,0,Rule_1_3_5_18_49_51_99_198_387
2010-09-19,E,REPLACE BUCKET TOOTH,PM01,1139.08,7,Bucket,GET,Replace,2V,NA,NA,NA,BUCKET,0,Rule_1_3_5_8_100_116_345_346
2010-10-25,E,REPLACE 4 BUCKET TEETH&OIL LEAK F/DRIVES,PM01,5765.71,36,Bucket_Hydraulic System,GET,Replace,2V,Leak,NA,NA,BUCKET,0,Rule_1_3_5_9_50_101_117_345_346_387
2010-11-03,E,RH PUMP GEAR BOX GETTING HOT,PM01,194.26,9,Bucket,Cover_GET_Pump,NA,NA,Over Temp,Right,NA,PUMP GEARBOX - RIGHT,0,Rule_1_3_12_94_104_176_402_471
2010-11-16,E,2 X BROKEN BUCKET GREASE LINES,PM01,0,13,Bucket,Grease System,NA,NA,Structural Integrity,NA,NA,IMPLEMENTS,0,Rule_1_3_5_125_263_422
2011-02-02,E,REPLACE BUCKET TOOTH,PM01,1619.21,78,Bucket,GET,Replace,2V,NA,NA,NA,BUCKET,0,Rule_1_3_5_8_100_116_345_346
2011-03-02,E,REPLACE A BROKEN BUCKET TOOTH,PM01,1718.6,28,Bucket,GET,Replace,2V,Structural Integrity,NA,NA,BUCKET,0,Rule_1_3_5_8_100_116_345_346_422
2011-03-02,E,REPLACE BUCKET TOOTH,PM01,1451.33,0,Bucket,GET,Replace,2V,NA,NA,NA,BUCKET,0,Rule_1_3_5_8_100_116_345_346
2011-04-02,E,REPAIR RETAINER PLATE ON H-LINK  BUCKET,PM01,1065.06,31,Bucket,Cover_Wear Items,Repair,1,NA,NA,NA,BUCKET,0,Rule_1_3_5_85_207_319
2011-04-23,E,REPLACE BUCKET TOOTH,PM01,0,21,Bucket,GET,Replace,2V,NA,NA,NA,BUCKET,0,Rule_1_3_5_8_100_116_345_346
2011-04-28,E,Mech Repl Bucket  SHD26,PM02,1289.76,5,Bucket,NA,Replace,2V,NA,NA,NA,BUCKET,1,Rule_1_4_5_346
2011-05-23,E,REPLACE BUCKET TOOTH,PM01,2699.51,25,Bucket,GET,Replace,2V,NA,NA,NA,BUCKET,0,Rule_1_3_5_8_100_116_345_346
2011-06-13,E,REPLACE BUCKET TOOTH,PM01,1489.54,21,Bucket,GET,Replace,2V,NA,NA,NA,IMPLEMENTS,0,Rule_1_3_5_8_100_116_345_346
2011-06-15,E,REPLACE MISSING BUCKET TOOTH.,PM01,111.23,2,Bucket,GET,Replace,2V,Missing / Loose,NA,NA,BUCKET,0,Rule_1_3_5_8_100_116_345_346_393
2011-07-18,E,grease line on bucket loose,PM01,372.71,33,Bucket,Grease System,NA,NA,Missing / Loose,NA,NA,BUCKET,0,Rule_1_3_5_125_263_392
2011-07-29,E,Repair damage to bucket lube system,PM06,2624.9,11,Bucket,Grease System,Repair,1,Structural Integrity,NA,NA,GREASE LUBE SYSTEM,0,Rule_1_5_236_319_417
2011-09-13,E,BUCKET TOOTH BROKEN,PM01,1315.08,46,Bucket,GET,NA,NA,Structural Integrity,NA,NA,BUCKET,0,Rule_1_3_5_8_100_116_422
2011-12-01,E,OVERHAUL BUCKET,PM01,13362.98,79,Bucket,NA,Replace,3,NA,NA,NA,BUCKET,0,Rule_1_3_5_347
2004-02-01,A,ENGINES WONT RUN,PM01,249.58,NA,Engine,NA,NA,NA,NA,NA,NA,ENGINE,0,Rule_1_3_26
2005-09-13,A,ENGINE DYING UNDER LOAD,PM01,1268.19,590,Engine,NA,NA,NA,NA,NA,Positional Term,FUEL SYSTEMS,0,Rule_1_3_26_522
2005-10-02,A,ENGINE SHUTTING DOWN,PM01,0,19,Engine,NA,NA,NA,Fail to Stop,NA,NA,ENGINE,0,Rule_1_3_26_427
2005-10-03,A,LOW RH ENGINE OIL PRESSURE ALARM,PM01,689.52,1,Engine_Hydraulic System,Misc,NA,NA,Fluid Levels,Right,NA,LUBRICATION SYSTEM,0,Rule_1_3_26_53_285_437_518
2005-10-07,A,ENGINE OVERHEATING,PM01,462.84,4,Engine_Radiator,NA,NA,NA,Over Temp,Right,NA,COOLING SYSTEM,0,Rule_1_3_26_42_450_453_518
2005-12-19,A,ENGINE REPAIRS / CHARGE FIRE SUPPRESSION,PM01,1411.5,73,Engine,Fire Suppression,Minor Maint_Repair,1,NA,NA,NA,LUBRICATION SYSTEM,0,Rule_1_3_26_131_346_366
2006-04-19,A,RH ENG. KNOCK AT TOP AREA,PM01,0,121,Engine,NA,NA,NA,NA,Right,Positional Term,O&K RH120C Shovel (TEREX Hire ),0,Rule_1_3_26_518_523
2006-10-18,A,ENGINE WILL NOT RUN,PM01,304.7,182,Engine,NA,NA,NA,NA,NA,NA,FUEL SYSTEMS,0,Rule_1_3_26
2006-11-06,A,ENGINE FAULT,PM01,56.04,19,Engine,NA,NA,NA,Unspecified,NA,NA,ENGINE,0,Rule_1_3_26_476
2007-01-06,A,ENGINE WON'T SHUT DOWN,PM01,151.4,61,Engine,NA,NA,NA,Fail to Start,NA,NA,PROTECTION DEVICES & ALARMS,0,Rule_1_3_26_426
2008-01-06,A,ENGINE REVS NOT IN SYNC,PM01,0,365,Engine,NA,NA,NA,NA,NA,NA,ENGINE,0,Rule_1_3_26
2008-01-11,A,R/H ENGINE DOWN ON REVS,PM01,309.03,5,Engine,NA,NA,NA,NA,Right,NA,FUEL SYSTEMS,0,Rule_1_3_26_519
2008-05-20,A,REPAIR ENGINE SHUT DOWN/RUN SOLENOID,PM01,885.15,130,Engine,NA,Repair,1,Fail to Stop,NA,NA,ENGINE,0,Rule_1_3_26_366_427
2008-05-26,A,OIL LEAK UNDER ENGINE,PM01,1240.78,6,Engine_Hydraulic System,NA,NA,NA,Leak,NA,Positional Term,ENGINE,0,Rule_1_3_26_53_434_522
2008-10-25,A,ENGINES WON'T STAY RUNNING,PM01,1043,152,Engine,NA,NA,NA,NA,NA,NA,ENGINE,0,Rule_1_3_26
2001-08-13,B,scope wter leak on rhs engine,PM01,0,NA,Engine,NA,Repair,15,Leak,Right,NA,+Cooling System,0,Rule_1_3_25_373_425_509
2001-09-15,B,replace heads on lhs eng,PM01,0,33,Engine,NA,Replace,2V,NA,Left,NA,Engine Left Cylinder Heads,0,Rule_1_3_25_383_384_499
2001-10-03,B,SCOPE R/H ENG.O/TEMP. WARNING.,PM01,594.88,18,Engine,NA,Repair,15,NA,Right,NA,Right Engine,0,Rule_1_3_25_373_510
2001-10-11,B,Replace heat sender unit,PM01,2741.17,8,Engine,NA,Replace,2V,NA,NA,NA,Right Engine,0,Rule_1_3_383_384
2001-11-14,B,NOISE IN L/H ENGINE,PM01,24893.09,34,Engine,NA,NA,NA,Noise,Left,NA,Left Engine,0,Rule_1_3_25_435_500
2001-11-24,B,ENG OVERHEATING   SEE  TEXT,PM01,180.21,10,Engine,NA,NA,NA,Over Temp,Right,NA,+Cooling System,0,Rule_1_3_25_441_444_509
2001-12-05,B,Repair RH engine water leaks.,PM01,432.13,11,Engine,NA,Repair,1,Leak,Right,NA,Right Engine,0,Rule_1_3_25_357_425_509
2002-01-02,B,REPAIR WATER LEAK ON R/H ENGINE,PM01,430.04,28,Engine,NA,Repair,1,Leak,Right,NA,+Cooling System,0,Rule_1_3_25_357_425_510
2002-01-17,B,SCOPE OVER TEMP ON R/H ENGINE,PM01,286.7,15,Engine_Radiator,NA,Repair,15,Over Temp,Right,NA,Engines,0,Rule_1_3_25_40_373_439_445_510
2002-01-23,B,right hand engine cut out.,PM01,860.09,6,Engine,NA,NA,NA,NA,Right,NA,Fuel Systems,0,Rule_1_3_25_508
2002-04-17,B,R/HAND ENGINE COOLENT LOSS,PM01,761.13,84,Engine,NA,NA,NA,NA,Right,NA,Power Train - Transmission,0,Rule_1_3_25_510
2002-05-10,B,WATER LEAKING FROM ENGINE MANIFOLD,PM01,263.59,23,Engine,NA,NA,NA,Leak,NA,NA,Left Engine,0,Rule_1_3_25_425
2002-06-15,B,ENGINE OERHEATING  SEE TEXT,PM01,71.63,36,Engine_Radiator,NA,NA,NA,NA,Right,NA,Right Engine,0,Rule_1_3_25_41_509
2002-06-19,B,"ENGINE: Bad oil leak @ upper, centre COM",PM01,17813.75,4,Engine_Hydraulic System,NA,NA,NA,Leak,NA,NA,Left Engine,0,Rule_1_3_25_52_425
2002-06-26,B,leaking engine oil hose,PM01,576.3,7,Engine_Hydraulic System,NA,NA,NA,Leak,NA,NA,Oil - Engine- Right,0,Rule_1_3_25_52_53_425
2002-09-12,B,R/H ENGINE BLOWING WHITE SMOKE .replaced,PM01,499.9,78,Engine,NA,Replace,2V,Smoke / Burning,Right,NA,+Injectors,0,Rule_1_3_25_383_384_451_510
2002-10-07,B,replace air cleaners,PM01,253.19,25,Engine,NA,Minor Maint_Replace,2V,NA,NA,NA,+Induction And Exhaust System,0,Rule_1_3_57_58_334_383_384
2002-10-09,B,r/h engine overheating .,PM01,666.63,2,Engine_Radiator,NA,NA,NA,Over Temp,Right,NA,+Cooling System,0,Rule_1_3_25_41_441_444_509_510
2002-10-11,B,replace shorting rh eng tacho,PM01,0,2,Engine,NA,Replace,2V,NA,Right,NA,Communications,0,Rule_1_3_25_383_384_509
2002-10-18,B,R/H ENGINE OVERHEATING SEE TEXT .RAN TEM,PM01,3595.98,7,Engine_Radiator,NA,NA,NA,Over Temp,Right,NA,+Cooling System,0,Rule_1_3_25_41_441_444_509_510
2002-10-25,B,wash down engine bay.,PM01,253.19,7,Engine,NA,NA,NA,NA,NA,NA,O&K RH120C,0,Rule_1_3_25
2002-12-13,B,R/H ENG WARNING LIGHT ON,PM01,193.81,49,Engine,NA,NA,NA,Warning Light,Right,NA,Electrical,0,Rule_1_3_25_478_510
2002-12-31,B,REPLACE AIR CLEANERS,PM01,572.28,18,Engine,NA,Minor Maint_Replace,2V,NA,NA,NA,Engines,0,Rule_1_3_57_58_334_383_384
2003-01-02,B,engine cutting out,PM01,499.06,2,Engine,NA,NA,NA,NA,NA,NA,Lights & Power,0,Rule_1_3_25
2003-01-17,B,rh engine overheating,PM01,138.78,15,Engine_Radiator,NA,NA,NA,Over Temp,Right,NA,Right Engine,0,Rule_1_3_25_41_441_444_509
2003-01-31,B,Tune left engine,PM01,3193.55,14,Engine,NA,NA,NA,NA,Left,NA,Left Engine,0,Rule_1_3_25_501
2003-02-04,B,oil leak front of engine?,PM01,2578.69,4,Engine_Hydraulic System,NA,NA,NA,Leak,Front,NA,Right Engine,0,Rule_1_3_25_52_425_496
2003-02-05,B,Change outer engine air cleaners,PM01,193.78,1,Engine,NA,Minor Maint_Replace,1,NA,NA,NA,+Induction And Exhaust System,0,Rule_1_3_25_57_58_334_378
2003-02-22,B,l/h engine overheating   ( blown hose),PM01,3097.51,17,Engine_Radiator_Hydraulic System,NA,NA,NA,Over Temp_Structural Integrity,Left_Right,NA,+Cooling System,0,Rule_1_3_25_41_53_441_444_459_500_509
2003-02-26,B,blown hydraulic hose l/h engine.,PM01,0,4,Engine_Hydraulic System,NA,NA,NA,Structural Integrity,Left,NA,Hydraulic/Mechanical Systems,0,Rule_1_3_25_51_53_459_500
2003-02-28,B,LH Engine low oil light coming up,PM01,330.7,2,Engine_Hydraulic System,NA,NA,NA,Fluid Levels,Left,NA,Left Engine,0,Rule_1_3_25_52_428_499
2003-03-08,B,R/H ENGINE OVERHEATING,PM01,330.7,8,Engine_Radiator,NA,NA,NA,Over Temp,Right,NA,Radiator - Right,0,Rule_1_3_25_38_41_441_444_509_510
2003-03-12,B,change air cleaners,PM01,103.01,4,Engine,NA,Minor Maint_Replace,1,NA,NA,NA,Engines,0,Rule_1_3_57_58_334_378
2003-03-25,B,scope rh eng oil press problem,PM01,0,13,Engine_Hydraulic System,NA,Repair,15,NA,Right,NA,Oil - Engine- Right,0,Rule_1_3_25_52_373_509
2003-04-18,B,R.H. ENGINE OIL LEAK,PM01,943.01,24,Engine_Hydraulic System,NA,NA,NA,Leak,NA,NA,Oil - Engine- Right,0,Rule_1_3_25_52_425
2003-04-22,B,Check problem with r/h engine,PM01,237.52,4,Engine,NA,CM,2,NA,Right,NA,Right Engine,0,Rule_1_3_25_313_510
2003-05-07,B,low oil pressure warning on rhs eng,PM01,191.38,15,Engine_Hydraulic System,NA,NA,NA,Fluid Levels,Right,NA,Right Engine,0,Rule_1_3_25_52_428_509
2003-05-09,B,replace l/h engine,PM01,62464.68,2,Engine,NA,Replace,2V,NA,Left,NA,Left Engine,0,Rule_1_3_25_383_384_500
2003-05-12,B,oil leak l/h engine,PM01,63.79,3,Engine_Hydraulic System,NA,NA,NA,Leak,Left,NA,Left Engine,0,Rule_1_3_25_52_425_500
2003-06-20,B,engine warning light coming on,PM01,558.54,39,Engine,NA,NA,NA,Warning Light,NA,NA,Engines,0,Rule_1_3_25_478
2003-06-27,B,replace outer air cleaners,PM01,409.39,7,Engine,NA,Minor Maint_Replace,2V,NA,NA,NA,+Induction And Exhaust System,0,Rule_1_3_57_58_334_383_384
2003-07-03,B,LH engine overheating,PM01,325.39,6,Engine_Radiator,NA,NA,NA,Over Temp,Left_Right,NA,Left Engine,0,Rule_1_3_25_41_441_444_499_509
2003-07-04,B,warranty #2 head leaking combustion gas,PM01,81.35,1,Engine,NA,NA,NA,Leak,NA,Warranty Item,Engine Right Cylinder Heads,0,Rule_1_3_425_519
2003-07-04,B,replace l/h engine temp sender,PM01,124.12,0,Engine_Radiator,NA,Replace,2V,NA,Left,NA,Electrical,0,Rule_1_3_25_40_383_384_500
2003-07-07,B,left hand throttle will not go,PM01,1001.39,3,Engine,NA,NA,NA,NA,Left,NA,Left Engine,0,Rule_1_3_501
2003-07-24,B,Replace engine air cleaners,PM01,119.74,17,Engine,NA,Minor Maint_Replace,2V,NA,NA,NA,+Induction And Exhaust System,0,Rule_1_3_25_57_58_334_383_384
2003-08-23,B,engine repairs  RHS,PM01,32632.84,30,Engine,NA,Repair,1,NA,Right,NA,Right Engine,0,Rule_1_3_25_357_509
2003-09-01,B,Replace 2 air cleaners,PM01,104.5,9,Engine,NA,Minor Maint_Replace,2V,NA,NA,NA,+Induction And Exhaust System,0,Rule_1_3_57_58_334_383_384
2003-09-10,B,ENGINE DROPPING REVS.,PM01,1338.32,9,Engine,NA,NA,NA,NA,NA,NA,Engines,0,Rule_1_3_25
2003-10-18,B,r/h engine shutting down intermittently,PM01,333.58,38,Engine,NA,NA,NA,Fail to Stop,Right,NA,Right Engine,0,Rule_1_3_25_418_510
2003-10-21,B,REPLACE R/H INNER ENGINE AIR CLEANER,PM01,51.26,3,Engine,NA,Minor Maint_Replace,2V,NA,Right,NA,+Induction And Exhaust System,0,Rule_1_3_25_57_334_383_384_510
2003-11-18,B,RH120C-RH ENGINE CHANGEOUT,PM02,0,28,Engine,NA,Replace,1,NA,Right,NA,Right Engine,1,Rule_1_4_25_378_509
2003-11-22,B,replace air cleaners,PM01,0,4,Engine,NA,Minor Maint_Replace,2V,NA,NA,NA,Engines,0,Rule_1_3_57_58_334_383_384
2003-12-01,B,Replace both engine air cleaners,PM01,100.04,9,Engine,NA,Minor Maint_Replace,2V,NA,NA,NA,Engines,0,Rule_1_3_25_57_58_334_383_384
2003-12-15,B,replace belt,PM01,295.7,14,Engine,NA,Replace,2V,NA,NA,NA,Right Engine,0,Rule_1_3_383_384
2004-01-07,B,replace lh eng bay light,PM01,248.81,23,Engine,NA,Replace,2V,NA,Left,NA,Lights & Power,0,Rule_1_3_25_383_384_499
2004-01-11,B,oil leak under engine,PM01,0,4,Engine_Hydraulic System,NA,NA,NA,Leak,NA,Positional Term,Engines,0,Rule_1_3_25_52_425_513
2004-01-13,B,engine shuting down,PM01,0,2,Engine,NA,NA,NA,Fail to Stop,NA,NA,Right Engine,0,Rule_1_3_25_418
2004-01-14,B,r/h engine shuting down,PM01,0,1,Engine,NA,NA,NA,Fail to Stop,Right,NA,Right Engine,0,Rule_1_3_25_418_510
2004-02-16,B,L/H ENG OVERHEATING,PM01,0,33,Engine,NA,NA,NA,Over Temp,Left_Right,NA,+Cooling System,0,Rule_1_3_25_441_444_500_509
2004-02-22,B,R/H engine shutting down,PM01,0,6,Engine,NA,NA,NA,Fail to Stop,Right,NA,Fuel Systems,0,Rule_1_3_25_418_510
2004-02-26,B,R/H engine blowing smoke,PM01,246.42,4,Engine,NA,NA,NA,Smoke / Burning,Right,NA,Engines,0,Rule_1_3_25_451_510
2004-03-04,B,Engine leak repairs,PM01,2526.39,7,Engine,NA,Repair,1,Leak,NA,NA,Right Engine,0,Rule_1_3_25_357_425
2004-03-17,B,R/H engine exhaust manifold broken,PM01,625.63,13,Engine_Induction and Exhaust,NA,NA,NA,Structural Integrity,Right,NA,+Induction And Exhaust System,0,Rule_1_3_25_67_460_510
2004-03-31,B,engine overheating,PM01,734.23,14,Engine_Radiator,NA,NA,NA,Over Temp,Right,NA,+Cooling System,0,Rule_1_3_25_41_441_444_509
2004-04-23,B,LH engine hi water temp light stays on.,PM01,183.56,23,Engine_Radiator,NA,NA,NA,NA,Left,NA,Lights & Power,0,Rule_1_3_25_40_499
2004-05-31,B,supply belts,PM01,73.42,38,Engine,NA,NA,NA,NA,NA,NA,Engines,0,Rule_1_3
2004-06-08,B,RH engine cutting out continuously,PM01,0,8,Engine,NA,NA,NA,NA,Right,NA,Right Engine,0,Rule_1_3_25_509
2004-06-22,B,r/h engine losing tec 50,PM01,250.81,14,Engine_Radiator,NA,NA,NA,NA,Right,NA,Radiator - Right,0,Rule_1_3_25_38_510
2004-06-24,B,RH engine keeps cutting out,PM01,125.41,2,Engine,NA,NA,NA,NA,Right,NA,Right Engine,0,Rule_1_3_25_509
2004-06-25,B,r/h engine overheating,PM01,627.03,1,Engine_Radiator,NA,NA,NA,Over Temp,Right,NA,+Cooling System,0,Rule_1_3_25_41_441_444_509_510
2003-12-19,C,SMART RIU INSTALLATION.,PM01,108.02,NA,Engine,NA,Replace,5,NA,NA,NA,ELECTRICAL,0,Rule_1_3_63_369
2004-03-01,C,LH ENG OIL LEVEL LOW (NO OIL TRANSFER),PM01,109.81,73,Engine_Not Trans_Transmission_Hydraulic System,NA,NA,NA,Fluid Levels,Left,NA,OIL - ENGINE - LEFT,0,Rule_1_3_25_31_42_44_52_406_477
2004-03-13,C,SMART RIU INSTALLATION.,PM01,1418.38,12,Engine,NA,Replace,5,NA,NA,NA,ELECTRICAL,0,Rule_1_3_63_369
2004-05-24,C,ENGINES SHUTTING DOWN CHANGE OUT SPS,PM01,0,72,Engine,NA,Replace,1,Fail to Stop,NA,NA,PROTECTION DEVICES & ALARMS,0,Rule_1_3_25_356_396
2004-05-26,C,CHECK ENGINES SHUTTING DOWN FAULT,PM01,5810.03,2,Engine,NA,CM,2,Fail to Stop_Unspecified,NA,NA,ELECTRICAL CONTROL SYSTEMS,0,Rule_1_3_25_291_396_445
2004-10-15,C,RIU IS NOT WORKING,PM01,58.61,142,Engine,NA,NA,NA,Unspecified,NA,NA,ENGINES  x 2,0,Rule_1_3_63_446
2005-03-25,C,REPAIR ENGINE SAFETY GAURDS,PM01,730.14,161,Engine,NA,Repair,1,NA,NA,NA,Shovel Tracked Hydr O&K RH120E SHD23,0,Rule_1_3_25_335
